session,component_idx,old_label,new_label,reason,status
NOF_H32_1D,765,1,0,FAKE FN #38 - model correct DELETE,APPLIED
NOF_H06_3D,279,1,0,FAKE FN #39 - model correct DELETE,APPLIED
NOF_H07_4D,1,1,0,FAKE FN #40 - model correct DELETE,APPLIED
NOF_H32_1D,266,1,0,FAKE FN #41 - model correct DELETE,APPLIED
NOF_H32_4D,785,1,0,FAKE FN #42 - model correct DELETE,APPLIED
NOF_H06_3D,232,1,0,FAKE FN #43 - model correct DELETE,APPLIED
LNOF_J61_3D,251,1,0,FAKE FN #44 - model correct DELETE,APPLIED
NOF_H32_1D,188,1,0,FAKE FN #45 - model correct DELETE,APPLIED
NOF_H39_4D,544,1,0,FAKE FN #46 - model correct DELETE,APPLIED
NOF_H32_1D,170,1,0,FAKE FN #47 - model correct DELETE,APPLIED
NOF_H32_1D,850,1,0,FAKE FN #48 - model correct DELETE,APPLIED
NOF_H27_3D,122,1,0,FAKE FN #49 - model correct DELETE,APPLIED
NOF_H06_3D,266,1,0,FAKE FN #50 - model correct DELETE,APPLIED
NOF_H32_1D,241,1,0,FAKE FN #51 - model correct DELETE,APPLIED
NOF_H32_4D,1075,1,0,FAKE FN #52 - model correct DELETE,APPLIED
NOF_H07_4D,89,1,0,FAKE FN #53 - model correct DELETE,APPLIED
NOF_H06_3D,181,1,0,FAKE FN #54 - model correct DELETE,APPLIED
NOF_H27_3D,253,1,0,FAKE FN #55 - model correct DELETE,APPLIED
NOF_H39_4D,497,1,0,FAKE FN #56 - model correct DELETE,APPLIED
RFC_F54_3D,122,1,0,FAKE FN #57 - model correct DELETE,APPLIED
NOF_H27_3D,200,1,0,FAKE FN #58 - model correct DELETE,APPLIED
RFC_F15_3D,65,1,0,FAKE FN #59 - model correct DELETE,APPLIED
NOF_H31_3D,586,1,0,FAKE FN #60 - model correct DELETE,APPLIED
NOF_H32_4D,1054,1,0,FAKE FN #61 - model correct DELETE,APPLIED
NOF_H27_3D,83,1,0,FAKE FN #62 - model correct DELETE,APPLIED
NOF_H32_1D,526,1,0,FAKE FN #63 - model correct DELETE,APPLIED
RFC_F37_1D,219,1,0,FAKE FN #64 - model correct DELETE,APPLIED
NOF_H32_4D,705,1,0,FAKE FN #65 - model correct DELETE,APPLIED
NOF_H27_3D,60,1,0,FAKE FN #66 - model correct DELETE,APPLIED
NOF_H27_3D,203,1,0,FAKE FN #67 - model correct DELETE,APPLIED
RFC_F37_1D,41,1,0,FAKE FN #68 - model correct DELETE,APPLIED
NOF_H32_1D,974,1,0,FAKE FN #69 - model correct DELETE,APPLIED
NOF_H27_3D,207,1,0,FAKE FN #70 - model correct DELETE,APPLIED
NOF_H27_3D,209,1,0,FAKE FN #71 - model correct DELETE,APPLIED
NOF_H32_1D,583,1,0,FAKE FN #72 - model correct DELETE,APPLIED
NOF_H39_4D,531,1,0,FAKE FN #73 - model correct DELETE,APPLIED
NOF_H31_3D,339,1,0,FAKE FN #74 - model correct DELETE,APPLIED
NOF_H32_4D,1337,1,0,FAKE FN #75 - model correct DELETE,APPLIED
NOF_H27_3D,55,1,0,FAKE FN #76 - model correct DELETE,APPLIED
NOF_H32_1D,430,1,0,FAKE FN #77 - model correct DELETE,APPLIED
NOF_H07_4D,55,1,0,FAKE FN #78 - model correct DELETE,APPLIED
NOF_H08_2D,372,1,0,FAKE FN #79 - model correct DELETE,APPLIED
NOF_H06_3D,204,1,0,FAKE FN #80 - model correct DELETE,APPLIED
RFC_F01_3D,55,1,0,FAKE FN #81 - model correct DELETE,APPLIED
NOF_H27_3D,170,1,0,FAKE FN #82 - model correct DELETE,APPLIED
LNOF_J05_3D,643,1,0,FAKE FN #83 - model correct DELETE,APPLIED
NOF_H32_4D,1048,1,0,FAKE FN #84 - model correct DELETE,APPLIED
RFC_F37_1D,140,1,0,FAKE FN #85 - model correct DELETE,APPLIED
NOF_H32_1D,992,1,0,FAKE FN #86 - model correct DELETE,APPLIED
NOF_H27_3D,180,1,0,FAKE FN #87 - model correct DELETE,APPLIED
NOF_H27_3D,201,1,0,FAKE FN #88 - model correct DELETE,APPLIED
NOF_H07_4D,78,1,0,FAKE FN #89 - model correct DELETE,APPLIED
NOF_H32_1D,1201,1,0,FAKE FN #90 - model correct DELETE,APPLIED
NOF_H27_3D,210,1,0,FAKE FN #91 - model correct DELETE,APPLIED
NOF_H32_1D,513,1,0,FAKE FN #92 - model correct DELETE,APPLIED
RFC_F01_3D,125,1,0,FAKE FN #93 - model correct DELETE,APPLIED
LNOF_J06_1D,784,1,0,FAKE FN #94 - model correct DELETE,APPLIED
RFC_F54_3D,152,1,0,FAKE FN #96 - model correct DELETE,APPLIED
LNOF_J06_1D,299,1,0,FAKE FN #97 - model correct DELETE,APPLIED
NOF_H32_4D,463,1,0,FAKE FN #98 - model correct DELETE,APPLIED
NOF_H39_4D,685,1,0,FAKE FN #99 - model correct DELETE,APPLIED
NOF_H32_1D,449,1,0,FAKE FN #100 - model correct DELETE,APPLIED
LNOF_J52_2D,517,0,1,FAKE FP #1 - model correct KEEP,APPLIED
LNOF_J52_2D,307,0,1,FAKE FP #2 - model correct KEEP,APPLIED
LNOF_J53_1D,792,0,1,FAKE FP #4 - model correct KEEP,APPLIED
LNOF_J53_1D,1031,0,1,FAKE FP #5 - model correct KEEP,APPLIED
LNOF_J52_2D,480,0,1,FAKE FP #7 - model correct KEEP,APPLIED
LNOF_J53_1D,162,0,1,FAKE FP #8 - model correct KEEP,APPLIED
LNOF_J52_2D,521,0,1,FAKE FP #9 - model correct KEEP,APPLIED
LNOF_J52_2D,219,0,1,FAKE FP #10 - model correct KEEP,APPLIED
LNOF_J52_2D,370,0,1,FAKE FP #12 - model correct KEEP,APPLIED
LNOF_J52_2D,84,0,1,FAKE FP #13 - model correct KEEP,APPLIED
LNOF_J52_2D,327,0,1,FAKE FP #15 - model correct KEEP,APPLIED
LNOF_J25_3D,354,0,1,FAKE FP #16 - model correct KEEP,APPLIED
LNOF_J56_1D,132,0,1,FAKE FP #17 - model correct KEEP,APPLIED
LNOF_J52_2D,336,0,1,FAKE FP #18 - model correct KEEP,APPLIED
LNOF_J52_2D,577,0,1,FAKE FP #19 - model correct KEEP,APPLIED
LNOF_J19_1D,277,0,1,FAKE FP #20 - model correct KEEP,APPLIED
LNOF_J52_2D,488,0,1,FAKE FP #21 - model correct KEEP,APPLIED
LNOF_J53_1D,717,0,1,FAKE FP #22 - model correct KEEP,APPLIED
LNOF_J53_1D,45,0,1,FAKE FP #23 - model correct KEEP,APPLIED
LNOF_J52_2D,197,0,1,FAKE FP #25 - model correct KEEP,APPLIED
LNOF_J52_2D,594,0,1,FAKE FP #26 - model correct KEEP,APPLIED
LNOF_J52_2D,106,0,1,FAKE FP #27 - model correct KEEP,APPLIED
LNOF_J53_1D,939,0,1,FAKE FP #29 - model correct KEEP,APPLIED
LNOF_J25_3D,260,0,1,FAKE FP #30 - model correct KEEP,APPLIED
NOF_H39_4D,791,0,1,FAKE FP #32 - model correct KEEP,APPLIED
NOF_H39_4D,159,0,1,FAKE FP #33 - model correct KEEP,APPLIED
NOF_H31_3D,548,0,1,FAKE FP #38 - model correct KEEP,APPLIED
LNOF_J53_1D,294,0,1,FAKE FP #39 - model correct KEEP,APPLIED
LNOF_J52_2D,266,0,1,FAKE FP #40 - model correct KEEP,APPLIED
LNOF_J53_1D,5,0,1,FAKE FP #41 - model correct KEEP,APPLIED
NOF_H31_3D,655,0,1,FAKE FP #43 - model correct KEEP,APPLIED
LNOF_J57_1D,490,0,1,FAKE FP #44 - model correct KEEP,APPLIED
NOF_H32_4D,504,0,1,FAKE FP #46 - model correct KEEP,APPLIED
LNOF_J59_2D,651,0,1,FAKE FP #47 - model correct KEEP,APPLIED
NOF_H39_4D,592,0,1,FAKE FP #48 - model correct KEEP,APPLIED
LNOF_J53_1D,1029,0,1,FAKE FP #50 - model correct KEEP,APPLIED
NOF_H31_3D,338,0,1,FAKE FP #52 - model correct KEEP,APPLIED
NOF_H39_4D,268,0,1,FAKE FP #53 - model correct KEEP,APPLIED
FOF_F05_1D,445,0,1,FAKE FP #54 - model correct KEEP,APPLIED
RFC_F37_1D,282,0,1,FAKE FP #55 - model correct KEEP,APPLIED
LNOF_J53_1D,667,0,1,FAKE FP #56 - model correct KEEP,APPLIED
LNOF_J57_1D,29,0,1,FAKE FP #57 - model correct KEEP,APPLIED
LNOF_J53_1D,413,0,1,FAKE FP #58 - model correct KEEP,APPLIED
RFC_F20_3D,383,0,1,FAKE FP #61 - model correct KEEP,APPLIED
LNOF_J19_1D,375,0,1,FAKE FP #62 - model correct KEEP,APPLIED
NOF_H31_3D,854,0,1,FAKE FP #63 - model correct KEEP,APPLIED
LNOF_J53_1D,708,0,1,FAKE FP #64 - model correct KEEP,APPLIED
LNOF_J57_1D,17,0,1,FAKE FP #65 - model correct KEEP,APPLIED
LNOF_J25_3D,51,0,1,FAKE FP #66 - model correct KEEP,APPLIED
LNOF_J59_2D,410,0,1,FAKE FP #68 - model correct KEEP,APPLIED
NOF_H31_3D,598,0,1,FAKE FP #69 - model correct KEEP,APPLIED
FOF_F29_1D,209,0,1,FAKE FP #70 - model correct KEEP,APPLIED
NOF_H31_3D,824,0,1,FAKE FP #71 - model correct KEEP,APPLIED
LNOF_J58_2D,192,0,1,FAKE FP #72 - model correct KEEP,APPLIED
LNOF_J53_1D,674,0,1,FAKE FP #73 - model correct KEEP,APPLIED
NOF_H33_4D,240,0,1,FAKE FP #74 - model correct KEEP,APPLIED
LNOF_J58_2D,601,0,1,FAKE FP #75 - model correct KEEP,APPLIED
LNOF_J59_2D,434,0,1,FAKE FP #76 - model correct KEEP,APPLIED
NOF_H06_3D,257,0,1,FAKE FP #77 - model correct KEEP,APPLIED
FOF_F05_1D,503,0,1,FAKE FP #78 - model correct KEEP,APPLIED
LNOF_J19_1D,373,0,1,FAKE FP #82 - model correct KEEP,APPLIED
NOF_H39_4D,124,0,1,FAKE FP #84 - model correct KEEP,APPLIED
FOF_F05_1D,388,0,1,FAKE FP #86 - model correct KEEP,APPLIED
NOF_H31_3D,474,0,1,FAKE FP #88 - model correct KEEP,APPLIED
NOF_H08_2D,152,0,1,FAKE FP #94 - model correct KEEP,APPLIED
LNOF_J12_1D,138,0,1,FAKE FP #97 - model correct KEEP,APPLIED
NOF_H39_4D,586,0,1,FAKE FP #99 - model correct KEEP,APPLIED
NOF_H31_3D,697,0,1,FAKE FP #100 - model correct KEEP,APPLIED
